,record_date,MORTGAGE30US
528,04-2015,3.6719999999999997
529,05-2015,3.84
530,06-2015,3.9825
531,07-2015,4.046
532,08-2015,3.9050000000000002
533,09-2015,3.89
534,10-2015,3.7960000000000003
535,11-2015,3.9425
536,12-2015,3.964
537,01-2016,3.8725
538,02-2016,3.66
539,03-2016,3.694
540,04-2016,3.605
541,05-2016,3.6
542,06-2016,3.568
543,07-2016,3.44
544,08-2016,3.435
545,09-2016,3.46
546,10-2016,3.47
547,11-2016,3.77
548,12-2016,4.198
549,01-2017,4.15
550,02-2017,4.1675
551,03-2017,4.196
552,04-2017,4.045
553,05-2017,4.01
554,06-2017,3.904
555,07-2017,3.9675000000000002
556,08-2017,3.88
557,09-2017,3.8049999999999997
558,10-2017,3.895
559,11-2017,3.9219999999999997
560,12-2017,3.95
561,01-2018,4.032500000000001
562,02-2018,4.33
563,03-2018,4.444
564,04-2018,4.4675
565,05-2018,4.586
566,06-2018,4.57
567,07-2018,4.5275
568,08-2018,4.55
569,09-2018,4.6274999999999995
570,10-2018,4.83
571,11-2018,4.866
572,12-2018,4.6375
573,01-2019,4.464
574,02-2019,4.37
575,03-2019,4.265
576,04-2019,4.1425
577,05-2019,4.072
578,06-2019,3.8024999999999998
579,07-2019,3.765
580,08-2019,3.6159999999999997
581,09-2019,3.605
582,10-2019,3.6879999999999997
583,11-2019,3.6950000000000003
584,12-2019,3.72
585,01-2020,3.624
586,02-2020,3.4650000000000003
587,03-2020,3.45
588,04-2020,3.306
589,05-2020,3.2325
590,06-2020,3.1625
591,07-2020,3.016
592,08-2020,2.935
593,09-2020,2.89
594,10-2020,2.834
595,11-2020,2.765
596,12-2020,2.684
597,01-2021,2.735
598,02-2021,2.81
599,03-2021,3.0825
600,04-2021,3.06
601,05-2021,2.9625
602,06-2021,2.975
603,07-2021,2.868
604,08-2021,2.8425000000000002
605,09-2021,2.9
606,10-2021,3.0675
607,11-2021,3.0675
608,12-2021,3.098
609,01-2022,3.4450000000000003
610,02-2022,3.7625
611,03-2022,4.172
612,04-2022,4.9825
613,05-2022,5.2299999999999995
614,06-2022,5.522
615,07-2022,5.4125
616,08-2022,5.2225
617,09-2022,6.112
618,10-2022,6.9
619,11-2022,6.805
620,12-2022,6.364
621,01-2023,6.2725
622,02-2023,6.2575
623,03-2023,6.544
624,04-2023,6.342499999999999
625,05-2023,6.425
626,06-2023,6.714
627,07-2023,6.84
628,08-2023,7.072
629,09-2023,7.2
630,10-2023,7.53
